Catalogue ID,Churchwell ID,l,b,Effective Radius (arcmin),Thickness (arcmin),Eccentricity,Position Angle (deg),Hit Rate,Dispersion (arcmin),Hierarchy Flag
MWP1G052904+004480,,52.904,0.448,0.53,0.57,0.44,23,0.2,0.0020,
MWP1G009465+004238,CN132,9.465,0.424,0.97,0.92,0.75,107,0.2,0.0050,
MWP1G009613+002019,CN135 CN136,9.613,0.202,0.45,0.55,0.31,21,0.2,0.0050,2
MWP1G008282-001351,,8.282,-0.135,0.96,0.98,0.6,63,0.2,0.0050,
MWP1G002773+001072,CN35,2.773,0.107,0.48,0.54,0.43,12,0.2,0.0010,
MWP1G028592-003541,,28.592,-0.354,0.49,0.59,0.45,43,0.2,0.0030,
MWP1G319940-001685,,319.94,-0.169,0.36,0.43,0.19,24,0.2,0.0010,
MWP1G356824+000138,,356.824,0.014,0.51,0.49,0.04,12,0.2,0.0010,
MWP1G351498-005316,CS84,351.498,-0.532,4.92,4.62,0.31,25,0.2,0.051,1
MWP1G353334-003830,,353.334,-0.383,0.8,0.81,0.17,17,0.2,0.0050,
MWP1G027298-001136,N46,27.298,-0.114,1.67,1.5,0.14,24,0.2,0.012,
MWP1G316808-000310,S110,316.808,-0.031,1.44,1.33,0.5,40,0.19,0.0050,2
MWP1G040403+007402,,40.403,0.74,0.5,0.55,0.12,1,0.19,0.0020,2
MWP1G339585-000986,,339.585,-0.099,2.37,1.97,0.26,28,0.19,0.029,
MWP1G317315-001050,,317.315,-0.105,0.53,0.61,0.27,0,0.19,0.0020,
MWP1G059414+000110,,59.414,0.011,0.91,1.29,0.14,11,0.19,0.0040,2
MWP1G039328-008938,,39.328,-0.894,1.08,0.65,0.47,11,0.19,0.0030,
MWP1G300236-007570,,300.236,-0.757,0.54,0.63,0.18,19,0.19,0.0020,
MWP1G350895-006616,,350.895,-0.662,1.61,1.35,0.02,69,0.19,0.012,
MWP1G342139+004302,,342.139,0.43,1.07,0.97,0.23,1,0.19,0.0030,
MWP1G000821-002547,,0.821,-0.255,0.44,0.4,0.13,6,0.19,0.0010,
MWP1G034694+000116,,34.694,0.012,1.05,0.94,0.03,34,0.19,0.0060,1
MWP1G024862+000953,,24.862,0.095,1.13,0.65,0.42,6,0.19,0.0080,
MWP1G309294-008464,,309.294,-0.846,1.51,0.79,0.53,51,0.19,0.0050,
MWP1G306035+000406,,306.035,0.041,1.45,1.72,0.38,32,0.19,0.01,
MWP1G036013+000911,,36.013,0.091,0.43,0.53,0.35,34,0.19,0.0020,
MWP1G311842-002177,,311.842,-0.218,0.36,0.48,0.3,20,0.19,0.0010,
MWP1G008444-003599,,8.444,-0.36,3.94,3.39,0.24,21,0.19,0.062,1
MWP1G333174-000855,,333.174,-0.086,2.74,1.68,0.18,33,0.19,0.018,1
MWP1G320536-003336,,320.536,-0.334,0.79,0.67,0.66,23,0.19,0.0040,
MWP1G028801+001734,,28.801,0.173,0.69,0.73,0.24,14,0.19,0.0020,
MWP1G034603-004112,,34.603,-0.411,0.41,0.49,0.21,10,0.19,0.0020,
MWP1G050265-000063,,50.265,-0.0060,0.52,0.8,0.38,34,0.19,0.0040,
MWP1G023842+000976,N31,23.842,0.098,0.55,0.57,0.31,11,0.19,0.0020,
MWP1G025138-003353,,25.138,-0.335,0.77,0.7,0.3,16,0.19,0.0050,
MWP1G347529+002163,,347.529,0.216,5.9,4.57,0.41,24,0.19,0.078,1
MWP1G349114-008306,,349.114,-0.831,0.44,0.58,0.57,88,0.19,0.0020,
MWP1G308067-004326,,308.067,-0.433,0.39,0.4,0.07,4,0.19,0.0020,
MWP1G303185-008849,,303.185,-0.885,2.56,2.13,0.49,48,0.19,0.022,1
MWP1G042208-001185,,42.208,-0.118,0.42,0.61,0.1,69,0.19,0.0010,
MWP1G042149-001149,,42.149,-0.115,0.48,0.54,0.46,0,0.19,0.0020,
MWP1G049494-003448,,49.494,-0.345,0.4,0.35,0.14,0,0.19,0.0010,
MWP1G323920+004007,,323.92,0.401,0.48,0.57,0.36,20,0.19,0.0020,
MWP1G336348-002474,,336.348,-0.247,2.32,2.28,0.34,31,0.19,0.02,
MWP1G038962-007345,N76,38.962,-0.735,3.12,2.45,0.32,21,0.19,0.019,1
MWP1G034473-000169,,34.473,-0.017,1.48,1.27,0.3,22,0.19,0.0050,
MWP1G010455-000010,,10.455,-0.0010,0.52,0.61,0.37,31,0.19,0.0030,
MWP1G354895-002223,CS41,354.895,-0.222,0.35,0.38,0.44,41,0.19,0.0010,
MWP1G335703+001226,,335.703,0.123,1.54,1.46,0.13,18,0.19,0.011,2
MWP1G050498+009814,,50.498,0.981,0.97,1.27,0.56,25,0.19,0.011,
MWP1G043568+001140,,43.568,0.114,0.63,0.72,0.22,1,0.19,0.0040,
MWP1G351566+002267,,351.566,0.227,0.62,0.63,0.2,14,0.19,0.0010,2
MWP1G030381-001074,,30.381,-0.107,0.46,0.68,0.09,0,0.19,0.0030,
MWP1G343812+001516,,343.812,0.152,0.61,0.72,0.49,20,0.19,0.0020,
MWP1G023156+005391,,23.156,0.539,1.48,1.7,0.21,13,0.19,0.0070,
MWP1G341239+003361,,341.239,0.336,0.64,0.81,0.21,11,0.19,0.0030,
MWP1G050287-003912,,50.287,-0.391,0.66,0.76,0.1,5,0.19,0.0020,
MWP1G336405+000271,,336.405,0.027,0.53,0.44,0.46,16,0.19,0.0030,
MWP1G054785+008669,,54.785,0.867,1.58,1.62,0.41,12,0.19,0.0060,
MWP1G018166+003368,,18.166,0.337,0.39,0.35,0.05,10,0.19,0.0010,
MWP1G297532-000673,,297.532,-0.067,0.54,0.55,0.23,13,0.19,0.0030,
MWP1G062256+004773,,62.256,0.477,0.73,0.67,0.29,27,0.19,0.0030,
MWP1G012888-000434,N9,12.888,-0.043,0.49,0.64,0.46,12,0.19,0.0030,
MWP1G038181-000131,,38.181,-0.013,1.31,1.27,0.17,36,0.19,0.0060,2
MWP1G000414-004756,CN7,0.414,-0.476,7.86,5.63,0.17,42,0.19,0.036,1
MWP1G344372-002400,,344.372,-0.24,1.97,1.89,0.1,18,0.19,0.013,
MWP1G062726+006237,,62.726,0.624,1.8,2.75,0.45,24,0.19,0.012,
MWP1G308723-005093,,308.723,-0.509,0.51,0.51,0.37,0,0.19,0.0020,
MWP1G054417+009806,,54.417,0.981,0.46,0.51,0.5,9,0.19,0.0020,
MWP1G325294+002934,,325.294,0.293,1.44,0.96,0.37,36,0.19,0.0040,
MWP1G011067-002253,,11.067,-0.225,0.66,0.9,0.65,99,0.19,0.0050,
MWP1G044363+004475,,44.363,0.448,0.42,0.56,0.16,4,0.19,0.0030,2
MWP1G051361+001223,,51.361,0.122,0.47,0.57,0.32,22,0.19,0.0030,
MWP1G351111-000989,,351.111,-0.099,0.6,0.42,0.21,5,0.19,0.0040,
MWP1G023985-000835,,23.985,-0.084,0.43,0.54,0.11,2,0.19,0.0020,
MWP1G320718+004253,,320.718,0.425,0.51,0.58,0.24,0,0.19,0.0010,2
MWP1G344943+001995,,344.943,0.2,0.4,0.39,0.38,9,0.19,0.0020,
MWP1G045691-002272,,45.691,-0.227,1.2,0.95,0.42,45,0.19,0.011,
MWP1G033212-000141,,33.212,-0.014,0.51,0.41,0.4,60,0.19,0.0020,2
MWP1G326817-006260,,326.817,-0.626,3.52,2.25,0.53,42,0.19,0.041,1
MWP1G020077-004922,,20.077,-0.492,0.62,0.88,0.45,32,0.19,0.0040,
MWP1G052845-005363,,52.845,-0.536,6.26,4.11,0.22,52,0.19,0.052,1
MWP1G332685-005356,S50,332.685,-0.536,2.13,1.61,0.14,24,0.19,0.016,2
MWP1G025869+003440,,25.869,0.344,1.0,0.72,0.31,15,0.19,0.0030,
MWP1G009959+000758,CN140,9.959,0.076,0.55,0.49,0.23,10,0.19,0.0030,
MWP1G019480+001567,,19.48,0.157,0.51,0.53,0.37,7,0.19,0.0020,
MWP1G331136-004930,,331.136,-0.493,0.42,0.51,0.08,0,0.19,0.0020,2
MWP1G023710+001763,,23.71,0.176,1.59,1.38,0.4,16,0.19,0.0070,
MWP1G056274-005712,,56.274,-0.571,0.5,0.52,0.4,21,0.19,0.0020,
MWP1G308126-005087,,308.126,-0.509,0.89,0.72,0.66,24,0.19,0.0050,
MWP1G320805-002627,,320.805,-0.263,2.57,0.79,0.1,7,0.19,0.0060,1
MWP1G338136-000404,,338.136,-0.04,0.46,0.45,0.33,5,0.19,0.0030,
MWP1G323907-000694,,323.907,-0.069,0.43,0.6,0.47,55,0.19,0.0030,2
MWP1G328317+006527,,328.317,0.653,0.46,0.76,0.0,0,0.19,0.0010,
MWP1G316758-000613,S109 S110 S111,316.758,-0.061,3.37,2.64,0.38,31,0.19,0.045,1
MWP1G337451-003575,,337.451,-0.357,1.27,1.14,0.33,52,0.19,0.0080,
MWP1G002962-000501,CN36,2.962,-0.05,0.48,0.46,0.21,15,0.19,0.0030,
MWP1G039287-006055,,39.287,-0.605,0.47,0.51,0.23,20,0.19,0.0010,
MWP1G028672+000154,,28.672,0.015,0.86,0.6,0.44,18,0.19,0.0040,
MWP1G018154+000992,,18.154,0.099,0.75,0.79,0.38,20,0.19,0.01,
